episode,step,cat_id,state_mean,state_std,action_idx,intent,reward,done,next_state_mean,next_state_std
2,241,orange,0.080718,0.980873,8,hide,0.0,False,0.081221,0.981057
2,242,orange,0.070925,1.012786,12,accept_petting,0.0,False,0.071551,1.013025
2,243,orange,0.118825,0.883509,8,hide,0.0,False,0.118066,0.88323
2,244,orange,0.081221,0.981057,8,hide,0.0,False,0.080452,0.980759
2,245,orange,0.071551,1.013025,1,approach_player,-0.1,False,0.070905,1.012783
2,246,orange,0.118066,0.88323,8,hide,0.0,False,0.118028,0.883207
2,247,orange,0.080452,0.980759,10,curious_inspect,0.0,False,0.080409,0.980727
2,248,orange,0.070905,1.012783,1,approach_player,-0.1,False,0.045748,0.972745
2,249,orange,0.118028,0.883207,8,hide,0.0,False,0.117997,0.883183
2,250,orange,0.080409,0.980727,5,play_with_toy,0.0,False,0.080362,0.980696
2,251,orange,0.045748,0.972745,2,ask_for_attention,0.0,False,0.045753,0.972733
2,252,orange,0.117997,0.883183,8,hide,0.0,False,0.117865,0.883132
2,253,orange,0.080362,0.980696,8,hide,0.5,False,0.080182,0.980631
2,254,orange,0.045753,0.972733,12,accept_petting,0.0,False,0.045706,0.972719
2,255,orange,0.117865,0.883132,8,hide,0.5,False,0.118389,0.883303
2,256,orange,0.080182,0.980631,5,play_with_toy,0.0,False,0.080682,0.980798
2,257,orange,0.045706,0.972719,0,idle_wander,0.0,False,0.046315,0.972954
2,258,orange,0.118389,0.883303,10,curious_inspect,0.0,False,0.11806,0.883153
2,259,orange,0.080682,0.980798,5,play_with_toy,-0.2,False,0.080062,0.980515
2,260,orange,0.046315,0.972954,1,approach_player,-0.1,False,0.068139,0.996792
2,261,orange,0.11806,0.883153,5,play_with_toy,0.0,False,0.117868,0.883079
2,262,orange,0.080062,0.980515,0,idle_wander,0.0,False,0.079846,0.980434
2,263,orange,0.068139,0.996792,12,accept_petting,0.0,False,0.068023,0.996756
2,264,orange,0.117868,0.883079,5,play_with_toy,0.0,False,0.117767,0.883037
2,265,orange,0.079846,0.980434,0,idle_wander,0.0,False,0.079721,0.980387
2,266,orange,0.068023,0.996756,0,idle_wander,0.0,False,0.067998,0.996752
2,267,orange,0.117767,0.883037,5,play_with_toy,0.0,False,0.117994,0.883059
2,268,orange,0.079721,0.980387,0,idle_wander,0.0,False,0.080186,0.980569
2,269,orange,0.067998,0.996752,0,idle_wander,0.0,False,0.068514,0.996953
2,270,orange,0.117994,0.883059,0,idle_wander,0.0,False,0.117795,0.882973
2,271,orange,0.080186,0.980569,0,idle_wander,0.0,False,0.079987,0.980477
2,272,orange,0.068514,0.996953,0,idle_wander,0.0,False,0.068367,0.996875
2,273,orange,0.117795,0.882973,0,idle_wander,0.0,False,0.117378,0.882814
2,274,orange,0.079987,0.980477,0,idle_wander,0.0,False,0.07957,0.98031
2,275,orange,0.068367,0.996875,1,approach_player,-0.1,False,0.068002,0.99672
2,276,orange,0.117378,0.882814,0,idle_wander,0.0,False,0.117191,0.882757
2,277,orange,0.07957,0.98031,0,idle_wander,0.0,False,0.079621,0.980335
2,278,orange,0.068002,0.99672,1,approach_player,-0.1,False,0.067867,0.996667
2,279,orange,0.117191,0.882757,0,idle_wander,0.0,False,0.117309,0.882798
2,280,orange,0.079621,0.980335,8,hide,0.0,False,0.079742,0.980369
2,281,orange,0.067867,0.996667,12,accept_petting,1.5,False,0.089255,0.986423
2,282,orange,0.117309,0.882798,0,idle_wander,0.0,False,0.117157,0.88274
2,283,orange,0.079742,0.980369,8,hide,0.0,False,0.079567,0.980305
2,284,orange,0.089255,0.986423,1,approach_player,-0.1,False,0.086289,0.98419
2,285,orange,0.117157,0.88274,4,sleep,0.3,False,0.118228,0.883275
2,286,orange,0.079567,0.980305,8,hide,0.0,False,0.079431,0.980258
2,287,orange,0.086289,0.98419,1,approach_player,-0.1,False,0.086204,0.984154
2,288,orange,0.118228,0.883275,0,idle_wander,-0.2,False,0.118157,0.883232
2,289,orange,0.079431,0.980258,8,hide,0.0,False,0.0791,0.980136
2,290,orange,0.086204,0.984154,1,approach_player,-0.1,False,0.086161,0.984134
2,291,orange,0.118157,0.883232,0,idle_wander,0.0,False,0.117971,0.883158
2,292,orange,0.0791,0.980136,8,hide,0.0,False,0.0789,0.980071
2,293,orange,0.086161,0.984134,1,approach_player,-0.1,False,0.02958,0.9452
2,294,orange,0.117971,0.883158,0,idle_wander,0.0,False,0.117931,0.883125
2,295,orange,0.0789,0.980071,8,hide,0.0,False,0.078845,0.980049
2,296,orange,0.02958,0.9452,1,approach_player,-0.1,False,0.029569,0.945188
2,297,orange,0.117931,0.883125,0,idle_wander,0.0,True,0.118191,0.883195
2,298,orange,0.078845,0.980049,8,hide,0.0,True,0.079067,0.980128
2,299,orange,0.029569,0.945188,0,idle_wander,0.0,True,0.029857,0.945299
